Fecha;Jornada;Equipo Local;Equipo Visitante
2026-09-17;7;Atlético Bucaramanga;Águilas Doradas
2026-09-18;11;Independiente Medellín;Jaguares
2026-09-22;12;Santa Fe;Deportivo Cali
2026-09-23;12;América de Cali;Águilas Doradas
2026-09-24;12;Atlético Nacional;Millonarios
2026-09-25;12;Boyacá Chicó;Deportivo Pasto
2026-09-25;12;Once Caldas;Atlético Bucaramanga
2026-09-26;12;Deportivo Pereira;Internacional de Bogotá
2026-09-26;12;Cúcuta Deportivo;Llaneros
2026-09-26;12;Junior;Independiente Medellín
2026-09-27;3;Deportivo Cali;Águilas Doradas
2026-09-27;12;Jaguares;Alianza Valledupar
2026-09-27;12;Fortaleza;Deportes Tolima
2026-09-29;3;Deportivo Pereira;Santa Fe
2026-09-29;4;Independiente Medellín;Millonarios
2026-09-30;3;Atlético Nacional;Junior
2026-10-01;17;Internacional de Bogotá;Once Caldas
2026-10-02;13;Deportivo Cali;Alianza Valledupar
2026-10-03;13;Águilas Doradas;Jaguares
2026-10-03;13;Deportes Tolima;Boyacá Chicó
2026-10-03;13;Independiente Medellín;Santa Fe
2026-10-04;13;Deportivo Pasto;Fortaleza
2026-10-04;13;Cúcuta Deportivo;Deportivo Pereira
2026-10-04;13;Atlético Bucaramanga;Junior
2026-10-04;13;Llaneros;América de Cali
2026-10-07;9;Atlético Nacional;Deportes Tolima
2026-10-08;14;Fortaleza;Millonarios
2026-10-10;14;Once Caldas;Llaneros
2026-10-10;14;Junior;Internacional de Bogotá
2026-10-10;14;Atlético Nacional;Deportivo Pasto
2026-10-11;14;Deportivo Pereira;Deportivo Cali
2026-10-11;14;Jaguares;Deportes Tolima
2026-10-11;14;América de Cali;Independiente Medellín
2026-10-12;14;Alianza Valledupar;Águilas Doradas
2026-10-12;14;Boyacá Chicó;Cúcuta Deportivo
2026-10-14;4;Junior;Deportivo Pereira
2026-10-14;7;Santa Fe;Jaguares
2026-10-17;1;Boyacá Chicó;Atlético Nacional
2026-10-17;15;Águilas Doradas;Deportes Tolima
2026-10-17;15;Millonarios;Jaguares
2026-10-17;15;Independiente Medellín;Once Caldas
2026-10-18;15;Atlético Bucaramanga;América de Cali
2026-10-18;15;Llaneros;Santa Fe
2026-10-18;15;Deportivo Cali;Junior
2026-10-19;15;Deportivo Pasto;Alianza Valledupar
2026-10-20;13;Millonarios;Once Caldas
2026-10-20;15;Deportivo Pereira;Boyacá Chicó
2026-10-20;15;Cúcuta Deportivo;Atlético Nacional
2026-10-21;9;Llaneros;Deportivo Cali
2026-10-21;15;Internacional de Bogotá;Fortaleza
2026-10-23;16;Boyacá Chicó;Atlético Bucaramanga
2026-10-23;16;Junior;Águilas Doradas
2026-10-24;16;América de Cali;Cúcuta Deportivo
2026-10-24;16;Once Caldas;Deportivo Pereira
2026-10-25;16;Fortaleza;Deportivo Cali
2026-10-25;16;Alianza Valledupar;Internacional de Bogotá
2026-10-25;16;Atlético Nacional;Independiente Medellín
2026-10-25;16;Deportes Tolima;Deportivo Pasto
2026-10-26;14;Santa Fe;Atlético Bucaramanga
2026-10-26;16;Jaguares;Llaneros
2026-10-27;5;Cúcuta Deportivo;Águilas Doradas
2026-10-27;5;Boyacá Chicó;Junior
2026-10-28;5;Once Caldas;Alianza Valledupar
2026-10-28;5;Internacional de Bogotá;Independiente Medellín
2026-10-29;5;América de Cali;Fortaleza
2026-10-29;5;Atlético Nacional;Santa Fe
2026-10-30;5;Deportivo Pereira;Jaguares
2026-10-30;5;Atlético Bucaramanga;Deportivo Pasto
2026-10-31;17;Llaneros;Junior
2026-11-01;17;Independiente Medellín;Alianza Valledupar
2026-11-01;17;Deportivo Cali;Boyacá Chicó
2026-11-02;17;Águilas Doradas;Fortaleza
2026-11-02;17;Cúcuta Deportivo;Santa Fe
2026-11-02;17;Atlético Bucaramanga;Atlético Nacional
2026-11-03;17;Deportivo Pereira;Deportes Tolima
2026-11-03;17;Millonarios;América de Cali
2026-11-04;17;Deportivo Pasto;Jaguares
2026-11-06;18;Fortaleza;Independiente Medellín
2026-11-07;18;Once Caldas;Águilas Doradas
2026-11-07;18;Deportes Tolima;Millonarios
2026-11-07;18;Atlético Nacional;Deportivo Pereira
2026-11-07;18;América de Cali;Deportivo Cali
2026-11-08;18;Boyacá Chicó;Internacional de Bogotá
2026-11-08;18;Jaguares;Atlético Bucaramanga
2026-11-08;18;Junior;Cúcuta Deportivo
2026-11-08;18;Alianza Valledupar;Llaneros
2026-11-09;18;Santa Fe;Deportivo Pasto
2026-11-12;19;Atlético Nacional;Once Caldas
2026-11-12;19;Águilas Doradas;Independiente Medellín
2026-11-12;19;Cúcuta Deportivo;Jaguares
2026-11-12;19;Atlético Bucaramanga;Fortaleza
2026-11-12;19;Deportivo Pasto;Junior
2026-11-12;19;Internacional de Bogotá;Santa Fe
2026-11-12;19;Millonarios;Alianza Valledupar
2026-11-12;19;Llaneros;Boyacá Chicó
2026-11-12;19;Deportivo Cali;Deportes Tolima
2026-11-12;19;Deportivo Pereira;América de Cali
