Posicion actual;Equipo;Puntos;PJ;GF;GC;Diferencia de Goles
1;América de Cali;24;11;22;6;16
2;Atlético Bucaramanga;20;10;17;9;8
3;Millonarios;20;12;16;9;7
4;Atlético Nacional;19;9;18;9;9
5;Independiente Medellín;19;9;17;11;6
6;Deportivo Cali;18;10;15;8;7
7;Deportes Tolima;17;10;13;11;2
8;Santa Fe;16;10;16;11;5
9;Llaneros;14;10;13;12;1
10;Once Caldas;12;11;14;15;-1
11;Águilas Doradas;11;9;12;13;-1
12;Internacional de Bogotá;11;11;13;17;-4
13;Boyacá Chicó;11;10;10;18;-8
14;Cúcuta Deportivo;9;10;9;18;-9
15;Fortaleza;8;10;11;16;-5
16;Deportivo Pasto;8;11;9;18;-9
17;Alianza Valledupar;8;10;9;20;-11
18;Deportivo Pereira;7;8;6;11;-5
19;Jaguares;7;9;10;16;-6
20;Junior;6;8;12;14;-2
